#timestamp(s) cam0 cam1 cam2 mono stereo observe
1694074158.50246 145 42 110 213 42 255
1694074158.53579 145 39 111 217 39 256
1694074158.63722 144 37 111 218 37 255
1694074158.70386 139 32 111 218 32 250
1694074158.73721 141 35 111 217 35 252
1694074158.80247 138 31 110 217 31 248
1694074158.83580 139 34 110 215 34 249
1694074158.90246 137 31 112 218 31 249
1694074158.93721 139 31 112 220 31 251
1694074159.00385 136 30 112 218 30 248
1694074159.03722 136 28 112 220 28 248
1694074159.10247 138 31 112 219 31 250
1694074159.20386 137 32 111 216 32 248
1694074159.23792 135 30 109 214 30 244
1694074159.30388 139 33 109 215 33 248
1694074159.40386 135 27 110 218 27 245
1694074159.43581 136 28 110 218 28 246
1694074159.50457 138 29 110 219 29 248
1694074159.53584 137 31 111 217 31 248
1694074159.63791 139 34 111 216 34 250
1694074159.70455 139 29 111 221 29 250
1694074159.73581 138 30 113 221 30 251
1694074159.80388 136 30 112 218 30 248
1694074159.90380 139 32 114 221 32 253
1694074159.93791 136 30 114 220 30 250
1694074160.00378 134 29 114 219 29 248
1694074160.10379 136 31 113 218 31 249
1694074160.13792 137 30 113 220 30 250
1694074160.20380 136 29 113 220 29 249
1694074160.30379 138 35 113 216 35 251
1694074160.33783 138 32 113 219 32 251
1694074160.40311 138 33 112 217 33 250
1694074160.43784 137 31 113 219 31 250
1694074160.50380 139 32 113 220 32 252
1694074160.53783 141 33 113 221 33 254
1694074160.60380 138 30 113 221 30 251
1694074160.63715 142 36 113 219 36 255
1694074160.70312 142 33 113 222 33 255
1694074160.73717 137 29 111 219 29 248
1694074160.80251 140 34 111 217 34 251
1694074160.83584 143 33 111 221 33 254
1694074160.90251 141 32 110 219 32 251
1694074160.93584 139 28 110 221 28 249
1694074161.03647 140 30 110 220 30 250
1694074161.10252 141 36 110 215 36 251
1694074161.13585 134 29 111 216 29 245
1694074161.23584 136 34 111 213 34 247
1694074161.30383 135 33 110 212 33 245
1694074161.33648 134 31 110 213 31 244
1694074161.40252 136 32 110 214 32 246
1694074161.50252 137 32 111 216 32 248
1694074161.53585 137 32 112 217 32 249
1694074161.63649 136 32 112 216 32 248
1694074161.70293 135 30 112 217 30 247
1694074161.73564 138 32 112 218 32 250
1694074161.80230 139 31 112 220 31 251
1694074161.83563 140 33 112 219 33 252
1694074161.90359 142 35 111 218 35 253
1694074161.93696 142 33 112 221 33 254
1694074162.00291 138 28 112 222 28 250
1694074162.03627 139 29 112 222 29 251
